,teamname,league,date,blue_side,gamelength,game,result,teamkills,teamdeaths,firstblood,dragons,barons,opp_barons,towers,opp_towers,inhibitors,opp_inhibitors,damagetochampions,damagetakenperminute,wardsplaced,wardskilled,controlwardsbought,totalgold,gspd
35,Top Esports,LPL,2021-01-12 12:53:44,0,2037,3.0,0,12,21,0.0,3.0,0.0,2.0,4.0,11.0,0.0,3.0,83552.0,2581.4728,114.0,50.0,47.0,56169,-0.134184
36,KT Rolster,LCK,2021-01-13 07:00:34,0,2177,1.0,0,8,19,0.0,2.0,0.0,2.0,2.0,11.0,0.0,4.0,55789.0,2679.7703,195.0,88.0,62.0,61024,-0.182796
37,Gen.G,LCK,2021-01-13 07:00:34,1,2177,1.0,1,19,8,1.0,4.0,2.0,0.0,11.0,2.0,4.0,0.0,65022.0,2600.6706,159.0,107.0,65.0,73081,0.182796
38,KT Rolster,LCK,2021-01-13 08:54:10,1,1800,2.0,0,8,23,0.0,0.0,0.0,2.0,3.0,10.0,0.0,1.0,68199.0,2880.7,107.0,45.0,41.0,48790,-0.170097
39,Gen.G,LCK,2021-01-13 08:54:10,0,1800,2.0,1,23,8,1.0,4.0,2.0,0.0,10.0,3.0,1.0,0.0,67499.0,3613.4333,118.0,54.0,49.0,62392,0.170097
40,Team WE,LPL,2021-01-13 09:20:10,1,1662,1.0,1,20,8,1.0,4.0,1.0,0.0,10.0,2.0,1.0,0.0,53678.0,2598.3755,91.0,39.0,39.0,56235,0.232907
41,Victory Five,LPL,2021-01-13 09:20:10,0,1662,1.0,0,8,20,0.0,0.0,0.0,1.0,2.0,10.0,0.0,1.0,46932.0,2430.9747,83.0,45.0,35.0,43127,-0.232907
42,T1,LCK,2021-01-13 10:04:28,1,1849,1.0,1,12,1,1.0,2.0,1.0,0.0,11.0,0.0,3.0,0.0,38151.0,2644.7377,102.0,52.0,47.0,59560,0.208608
43,Hanwha Life Esports,LCK,2021-01-13 10:04:28,0,1849,1.0,0,0,12,0.0,2.0,0.0,1.0,0.0,11.0,0.0,3.0,43562.0,1905.7545,114.0,47.0,49.0,45934,-0.208608
44,Victory Five,LPL,2021-01-13 10:11:32,1,2052,2.0,1,14,2,1.0,4.0,0.0,0.0,8.0,2.0,3.0,0.0,60268.0,2345.4386,168.0,69.0,38.0,60866,0.11563
45,Team WE,LPL,2021-01-13 10:11:32,0,2052,2.0,0,2,14,0.0,1.0,0.0,0.0,2.0,8.0,0.0,3.0,36335.0,2594.7368,126.0,82.0,48.0,49642,-0.11563
46,Team WE,LPL,2021-01-13 11:05:34,1,2154,3.0,1,17,15,0.0,5.0,1.0,1.0,7.0,4.0,1.0,0.0,75605.0,2443.0641,141.0,61.0,55.0,67623,0.0440137
