,teamname,league,date,blue_side,gamelength,game,result,teamkills,teamdeaths,firstblood,dragons,barons,opp_barons,towers,opp_towers,inhibitors,opp_inhibitors,damagetochampions,damagetakenperminute,wardsplaced,wardskilled,controlwardsbought,totalgold,gspd
6941,CERBERUS Esports,VCS,2022-02-19 13:47:08,0,2017,2.0,1,14,7,0.0,2.0,1.0,0.0,8.0,1.0,2.0,0.0,58302.0,1997.4318,119.0,52.0,52.0,63148,0.122353
6942,Excel Esports,LEC,2022-02-19 15:04:41,1,2388,1.0,1,17,7,0.0,4.0,1.0,0.0,10.0,5.0,2.0,0.0,50956.0,1905.8543,166.0,70.0,62.0,74750,0.113682
6943,Astralis,LEC,2022-02-19 15:04:41,0,2388,1.0,0,7,17,1.0,2.0,0.0,1.0,5.0,10.0,0.0,2.0,43074.0,2022.8141,137.0,63.0,49.0,65866,-0.113682
6944,Netshoes Miners,CBLOL,2022-02-19 15:44:54,0,2458,1.0,1,22,17,0.0,3.0,1.0,2.0,8.0,9.0,2.0,2.0,99091.0,2985.9398,130.0,65.0,72.0,75412,-0.0428926
6945,FURIA,CBLOL,2022-02-19 15:44:54,1,2458,1.0,0,16,22,1.0,3.0,2.0,1.0,9.0,8.0,2.0,2.0,81855.0,3313.9626,168.0,65.0,71.0,75245,0.0428926
6946,SK Gaming,LEC,2022-02-19 16:12:22,1,2384,1.0,1,10,11,1.0,1.0,1.0,0.0,7.0,4.0,1.0,0.0,77222.0,2731.8876,145.0,53.0,53.0,69494,-0.00761308
6947,Team BDS,LEC,2022-02-19 16:12:22,0,2384,1.0,0,11,10,0.0,4.0,0.0,1.0,4.0,7.0,0.0,1.0,78678.0,2899.807,127.0,81.0,53.0,69250,0.00761308
6948,paiN Gaming,CBLOL,2022-02-19 17:05:43,1,1863,1.0,0,8,21,1.0,2.0,0.0,1.0,2.0,10.0,0.0,1.0,55723.0,2736.2319,126.0,40.0,58.0,50216,-0.119414
6949,RED Canids,CBLOL,2022-02-19 17:05:43,0,1863,1.0,1,21,8,0.0,3.0,1.0,0.0,10.0,2.0,1.0,0.0,66288.0,2847.4718,105.0,52.0,49.0,63450,0.119414
6950,MAD Lions,LEC,2022-02-19 17:41:37,1,2144,1.0,0,10,7,1.0,1.0,0.0,1.0,3.0,11.0,0.0,2.0,42458.0,2253.9739,104.0,67.0,47.0,58894,-0.096856
6951,Misfits Gaming,LEC,2022-02-19 17:41:37,0,2144,1.0,1,7,10,0.0,4.0,1.0,0.0,11.0,3.0,2.0,0.0,58108.0,1823.9552,141.0,49.0,51.0,67854,0.096856
6952,Flamengo Esports,CBLOL,2022-02-19 18:06:50,1,1768,1.0,0,4,16,0.0,1.0,0.0,2.0,3.0,10.0,0.0,2.0,41462.0,2453.6878,89.0,41.0,43.0,47210,-0.132434
6953,KaBuM! e-Sports,CBLOL,2022-02-19 18:06:50,0,1768,1.0,1,16,4,1.0,3.0,2.0,0.0,10.0,3.0,2.0,0.0,50298.0,2236.4253,107.0,43.0,51.0,57196,0.132434
6954,Team Vitality,LEC,2022-02-19 18:45:12,1,1874,1.0,0,7,16,1.0,0.0,0.0,1.0,6.0,7.0,1.0,1.0,59466.0,2741.7823,101.0,53.0,37.0,53319,-0.00980775
6955,Rogue,LEC,2022-02-19 18:45:12,0,1874,1.0,1,16,7,0.0,4.0,1.0,0.0,7.0,6.0,1.0,1.0,64146.0,2877.3746,114.0,40.0,49.0,57135,0.00980775
6956,Rensga eSports,CBLOL,2022-02-19 19:04:08,0,1903,1.0,0,8,20,1.0,3.0,0.0,1.0,4.0,11.0,0.0,2.0,57711.0,3022.1019,122.0,55.0,49.0,51985,-0.0537614
6957,LOUD,CBLOL,2022-02-19 19:04:08,1,1903,1.0,1,20,8,0.0,2.0,1.0,0.0,11.0,4.0,2.0,0.0,67511.0,2632.2438,117.0,54.0,51.0,60766,0.0537614
6958,INFINITY,LLA,2022-02-19 19:39:51,1,2433,1.0,1,22,10,1.0,4.0,1.0,1.0,7.0,9.0,1.0,1.0,93952.0,2414.5006,154.0,80.0,66.0,75979,0.0314848
6959,All Knights,LLA,2022-02-19 19:39:51,0,2433,1.0,0,10,22,0.0,2.0,1.0,1.0,9.0,7.0,1.0,1.0,62651.0,3139.926,143.0,67.0,55.0,70706,-0.0314848
6960,Fnatic,LEC,2022-02-19 19:40:42,1,1896,1.0,1,16,5,0.0,4.0,1.0,0.0,9.0,2.0,2.0,0.0,57482.0,2272.9114,103.0,56.0,40.0,61118,0.175392
6961,G2 Esports,LEC,2022-02-19 19:40:42,0,1896,1.0,0,5,16,1.0,1.0,0.0,1.0,2.0,9.0,0.0,2.0,42721.0,2410.4747,97.0,44.0,37.0,48678,-0.175392
6962,INTZ,CBLOL,2022-02-19 20:00:51,1,1821,1.0,0,6,17,0.0,1.0,0.0,1.0,2.0,11.0,0.0,3.0,44713.0,2829.8847,103.0,41.0,44.0,50034,-0.114555
6963,Liberty,CBLOL,2022-02-19 20:00:51,0,1821,1.0,1,17,6,1.0,3.0,1.0,0.0,11.0,2.0,3.0,0.0,63645.0,2423.6573,95.0,50.0,38.0,59160,0.114555
6964,Team Aze,LLA,2022-02-19 20:48:39,1,2596,1.0,0,8,13,1.0,3.0,0.0,1.0,6.0,8.0,1.0,1.0,73276.0,2051.6487,142.0,81.0,54.0,73252,0.0639345
6965,INFINITY,LLA,2022-02-19 20:48:39,0,2596,1.0,1,13,8,0.0,4.0,1.0,0.0,8.0,6.0,1.0,1.0,59947.0,2288.7596,155.0,68.0,68.0,75946,-0.0639345
6966,Golden Guardians,LCS,2022-02-19 20:54:27,1,1608,1.0,0,3,17,0.0,0.0,0.0,1.0,2.0,11.0,0.0,3.0,27394.0,3247.8358,77.0,33.0,32.0,42426,-0.257606
6967,100 Thieves,LCS,2022-02-19 20:54:27,0,1608,1.0,1,17,3,1.0,4.0,1.0,0.0,11.0,2.0,3.0,0.0,63793.0,2026.8284,87.0,33.0,34.0,57049,0.257606
6968,All Knights,LLA,2022-02-19 21:59:45,0,2323,1.0,1,22,21,0.0,4.0,2.0,0.0,10.0,4.0,2.0,0.0,78477.0,2699.6384,131.0,54.0,50.0,76469,0.0600379
6969,Globant Emerald,LLA,2022-02-19 21:59:45,1,2323,1.0,0,21,22,1.0,2.0,0.0,2.0,4.0,10.0,0.0,2.0,75768.0,2594.1025,134.0,65.0,53.0,66693,-0.0600379
6970,TSM,LCS,2022-02-19 22:06:16,1,2034,1.0,1,11,8,0.0,2.0,1.0,1.0,8.0,9.0,1.0,3.0,42749.0,1820.5605,147.0,40.0,59.0,63554,-0.0996722
6971,Immortals,LCS,2022-02-19 22:06:16,0,2034,1.0,0,8,11,1.0,3.0,1.0,1.0,9.0,8.0,3.0,1.0,38138.0,2344.3953,106.0,59.0,45.0,63380,0.0996722
6972,Team Liquid,LCS,2022-02-19 23:05:09,1,1673,1.0,1,14,5,1.0,2.0,1.0,0.0,8.0,0.0,1.0,0.0,57902.0,2416.9277,81.0,47.0,35.0,56593,0.105702
6973,Evil Geniuses,LCS,2022-02-19 23:05:09,0,1673,1.0,0,5,14,0.0,1.0,0.0,1.0,0.0,8.0,0.0,1.0,45432.0,2807.8063,85.0,44.0,35.0,46134,-0.105702
6974,Isurus,LLA,2022-02-19 23:06:17,1,1469,1.0,0,6,12,1.0,0.0,0.0,1.0,0.0,11.0,0.0,3.0,24572.0,2413.9687,81.0,28.0,24.0,36466,-0.279168
6975,Estral Esports,LLA,2022-02-19 23:06:17,0,1469,1.0,1,12,6,0.0,3.0,1.0,0.0,11.0,0.0,3.0,0.0,42720.0,1915.2212,64.0,29.0,30.0,48587,0.279168
6976,XTEN Esports,LLA,2022-02-20 00:03:17,1,2402,1.0,1,15,7,0.0,4.0,1.0,0.0,9.0,4.0,1.0,0.0,56071.0,2498.5179,138.0,76.0,69.0,73409,0.132135
6977,Rainbow7,LLA,2022-02-20 00:03:17,0,2402,1.0,0,7,15,1.0,2.0,0.0,1.0,4.0,9.0,0.0,1.0,55419.0,1987.4688,148.0,73.0,59.0,65592,-0.132135
6978,Dignitas,LCS,2022-02-20 00:03:36,1,2299,1.0,0,5,13,1.0,2.0,0.0,2.0,6.0,9.0,0.0,2.0,55153.0,2662.4706,132.0,66.0,50.0,63820,-0.0675501
6979,FlyQuest,LCS,2022-02-20 00:03:36,0,2299,1.0,1,13,5,0.0,4.0,2.0,0.0,9.0,6.0,2.0,0.0,75063.0,2391.6224,128.0,60.0,42.0,72711,0.0675501
6980,Counter Logic Gaming,LCS,2022-02-20 01:05:49,1,2296,1.0,1,16,5,1.0,4.0,1.0,0.0,10.0,2.0,1.0,0.0,65210.0,2888.5976,126.0,60.0,56.0,71237,0.0792331
6981,Cloud9,LCS,2022-02-20 01:05:49,0,2296,1.0,0,5,16,0.0,2.0,0.0,1.0,2.0,10.0,0.0,1.0,69208.0,2438.3885,119.0,58.0,36.0,63927,-0.0792331
6982,KT Rolster,LCK,2022-02-20 06:17:46,0,2099,1.0,1,8,2,1.0,5.0,1.0,0.0,9.0,2.0,1.0,0.0,53278.0,2099.0281,132.0,69.0,48.0,66235,0.096494
6983,DWG KIA,LCK,2022-02-20 06:17:46,1,2099,1.0,0,2,8,0.0,0.0,0.0,1.0,2.0,9.0,0.0,1.0,40680.0,2078.8185,112.0,63.0,41.0,55057,-0.096494
6984,Rare Atom,LPL,2022-02-20 07:20:50,1,2378,1.0,0,13,19,1.0,3.0,1.0,2.0,8.0,8.0,1.0,3.0,95592.0,4272.4895,154.0,76.0,53.0,72328,0.023856
6985,ThunderTalk Gaming,LPL,2022-02-20 07:20:50,0,2378,1.0,1,19,13,0.0,3.0,2.0,1.0,8.0,8.0,3.0,1.0,131122.0,3268.2086,148.0,51.0,60.0,74619,-0.023856
6986,SEM9,PCS,2022-02-20 07:51:56,1,1720,1.0,0,5,25,0.0,0.0,0.0,1.0,2.0,8.0,0.0,1.0,47732.0,3031.7791,66.0,32.0,27.0,42640,-0.24988
6987,Beyond Gaming,PCS,2022-02-20 07:51:56,0,1720,1.0,1,25,5,1.0,4.0,1.0,0.0,8.0,2.0,1.0,0.0,72223.0,2707.5698,82.0,35.0,35.0,58863,0.24988
6988,Rare Atom,LPL,2022-02-20 08:20:49,1,1863,2.0,1,25,12,1.0,4.0,0.0,1.0,9.0,2.0,1.0,0.0,91875.0,3357.2303,102.0,43.0,39.0,61272,0.132447
6989,ThunderTalk Gaming,LPL,2022-02-20 08:20:49,0,1863,2.0,0,12,25,0.0,0.0,1.0,0.0,2.0,9.0,0.0,1.0,71477.0,3620.5797,103.0,37.0,47.0,51498,-0.132447
6990,DWG KIA,LCK,2022-02-20 08:44:25,1,1790,2.0,1,9,9,0.0,3.0,0.0,0.0,7.0,2.0,1.0,0.0,50421.0,2183.2626,122.0,57.0,34.0,52492,-0.0405664
6991,KT Rolster,LCK,2022-02-20 08:44:25,0,1790,2.0,0,9,9,1.0,2.0,0.0,0.0,2.0,7.0,0.0,1.0,41257.0,2530.3911,107.0,60.0,42.0,47542,0.0405664
6992,Crest Gaming Act,LJL,2022-02-20 08:45:18,1,2256,1.0,1,15,12,0.0,4.0,2.0,0.0,11.0,3.0,3.0,0.0,63379.0,2241.25,124.0,77.0,58.0,73257,0.13531
6993,Fukuoka SoftBank HAWKS gaming,LJL,2022-02-20 08:45:18,0,2256,1.0,0,12,15,1.0,2.0,0.0,2.0,3.0,11.0,0.0,3.0,60977.0,2405.6915,141.0,51.0,67.0,63524,-0.13531
6994,Impunity,PCS,2022-02-20 08:53:52,0,1842,1.0,1,24,11,0.0,4.0,1.0,0.0,11.0,3.0,3.0,0.0,66578.0,3066.3518,87.0,41.0,33.0,62807,0.149834
6995,SEM9,PCS,2022-02-20 08:53:52,1,1842,1.0,0,11,24,1.0,0.0,0.0,1.0,3.0,11.0,0.0,3.0,58375.0,2927.9479,86.0,41.0,35.0,50467,-0.149834
6996,Rare Atom,LPL,2022-02-20 09:10:12,1,1911,3.0,1,11,6,0.0,3.0,0.0,1.0,8.0,3.0,1.0,0.0,69551.0,2713.8462,99.0,55.0,39.0,57752,-0.0313271
6997,ThunderTalk Gaming,LPL,2022-02-20 09:10:12,0,1911,3.0,0,6,11,1.0,2.0,1.0,0.0,3.0,8.0,0.0,1.0,55010.0,3006.7818,104.0,49.0,44.0,51551,0.0313271
6998,DWG KIA,LCK,2022-02-20 09:40:04,1,2381,3.0,1,14,7,1.0,4.0,2.0,0.0,9.0,7.0,1.0,0.0,64208.0,2336.5477,157.0,84.0,57.0,72730,-0.0633896
6999,KT Rolster,LCK,2022-02-20 09:40:04,0,2381,3.0,0,7,14,0.0,3.0,0.0,2.0,7.0,9.0,0.0,1.0,64485.0,2547.3919,171.0,74.0,52.0,69082,0.0633896
7000,Luxury Esports,VCS,2022-02-20 09:44:51,1,2604,1.0,1,37,18,1.0,4.0,2.0,1.0,9.0,5.0,1.0,1.0,140116.0,4355.7373,149.0,64.0,55.0,88332,-0.0269201
7001,SBTC Esports,VCS,2022-02-20 09:44:51,0,2604,1.0,0,18,37,0.0,2.0,1.0,2.0,5.0,9.0,1.0,1.0,137397.0,3905.1613,153.0,56.0,102.0,77531,0.0269201
7002,DetonatioN FocusMe,LJL,2022-02-20 09:48:57,1,1409,1.0,1,21,4,1.0,2.0,1.0,0.0,10.0,0.0,2.0,0.0,47819.0,2113.9674,64.0,38.0,27.0,50759,0.282243
7003,V3 Esports,LJL,2022-02-20 09:48:57,0,1409,1.0,0,4,21,0.0,1.0,0.0,1.0,0.0,10.0,0.0,2.0,26275.0,2680.4542,71.0,27.0,36.0,35006,-0.282243
7004,Frank Esports,PCS,2022-02-20 09:49:35,1,1953,1.0,1,19,8,0.0,3.0,1.0,0.0,10.0,4.0,2.0,1.0,81862.0,2471.7972,118.0,48.0,54.0,62276,0.0911681
7005,Hurricane Gaming,PCS,2022-02-20 09:49:35,0,1953,1.0,0,8,19,1.0,2.0,0.0,1.0,4.0,10.0,1.0,2.0,50846.0,3341.6283,101.0,55.0,47.0,52588,-0.0911681
7006,Invictus Gaming,LPL,2022-02-20 10:21:51,0,1494,1.0,0,7,15,0.0,2.0,0.0,1.0,2.0,7.0,0.0,1.0,30996.0,2642.7309,87.0,35.0,39.0,41079,-0.0853833
7007,EDward Gaming,LPL,2022-02-20 10:21:51,1,1494,1.0,1,15,7,1.0,1.0,1.0,0.0,7.0,2.0,1.0,0.0,46721.0,2233.4137,90.0,39.0,37.0,49066,0.0853833
7008,Sengoku Gaming,LJL,2022-02-20 10:40:34,1,1608,1.0,1,19,7,0.0,4.0,1.0,0.0,7.0,5.0,1.0,1.0,51129.0,2294.2164,118.0,44.0,40.0,52278,0.0702788
7009,Rascal Jester,LJL,2022-02-20 10:40:34,0,1608,1.0,0,7,19,1.0,0.0,0.0,1.0,5.0,7.0,1.0,1.0,36168.0,2393.3582,71.0,52.0,30.0,43143,-0.0702788
7010,Nongshim RedForce,LCK,2022-02-20 10:44:36,1,2374,1.0,0,0,8,0.0,1.0,1.0,1.0,3.0,7.0,0.0,1.0,56944.0,1932.6369,161.0,85.0,75.0,63310,-0.00571429
7011,T1,LCK,2022-02-20 10:44:36,0,2374,1.0,1,8,0,1.0,5.0,1.0,1.0,7.0,3.0,1.0,0.0,48160.0,2353.9259,163.0,93.0,63.0,70969,0.00571429
7012,J Team,PCS,2022-02-20 10:51:42,1,2259,1.0,1,16,11,0.0,5.0,2.0,0.0,10.0,3.0,2.0,0.0,81656.0,2027.3572,125.0,61.0,51.0,72317,0.050248
7013,Beyond Gaming,PCS,2022-02-20 10:51:42,0,2259,1.0,0,11,16,1.0,1.0,0.0,2.0,3.0,10.0,0.0,2.0,50680.0,2573.8911,117.0,43.0,53.0,60879,-0.050248
7014,SBTC Esports,VCS,2022-02-20 11:01:03,1,2146,2.0,1,27,14,1.0,2.0,1.0,1.0,11.0,4.0,3.0,0.0,101263.0,3307.7167,113.0,62.0,56.0,72319,0.0762486
7015,Luxury Esports,VCS,2022-02-20 11:01:03,0,2146,2.0,0,14,27,0.0,3.0,1.0,1.0,4.0,11.0,0.0,3.0,84773.0,3695.5638,121.0,45.0,46.0,65293,-0.0762486
7016,Invictus Gaming,LPL,2022-02-20 11:06:08,1,1821,2.0,0,11,19,1.0,2.0,1.0,1.0,7.0,10.0,0.0,2.0,47598.0,3240.6919,106.0,45.0,46.0,58486,0.0229405
7017,EDward Gaming,LPL,2022-02-20 11:06:08,0,1821,2.0,1,19,11,0.0,2.0,1.0,1.0,10.0,7.0,2.0,0.0,67857.0,2351.7628,97.0,44.0,43.0,62938,-0.0229405
7018,Burning Core,LJL,2022-02-20 11:36:19,0,1591,1.0,1,28,6,1.0,3.0,1.0,0.0,7.0,2.0,1.0,0.0,57679.0,1757.1213,101.0,63.0,35.0,55518,0.165276
7019,AXIZ,LJL,2022-02-20 11:36:19,1,1591,1.0,0,6,28,0.0,1.0,0.0,1.0,2.0,7.0,0.0,1.0,29879.0,2795.8642,134.0,33.0,51.0,40741,-0.165276
7020,PSG Talon,PCS,2022-02-20 11:55:30,1,1742,1.0,1,20,5,1.0,1.0,1.0,0.0,11.0,1.0,2.0,0.0,58961.0,2094.0758,102.0,52.0,48.0,58441,0.142826
7021,Meta Falcon Team,PCS,2022-02-20 11:55:30,0,1742,1.0,0,5,20,0.0,3.0,0.0,1.0,1.0,11.0,0.0,2.0,35038.0,2865.7061,96.0,41.0,33.0,45292,-0.142826
7022,Luxury Esports,VCS,2022-02-20 11:57:22,1,1586,3.0,0,8,27,0.0,0.0,0.0,1.0,0.0,11.0,0.0,4.0,44558.0,3547.6797,87.0,28.0,33.0,42339,-0.289854
7023,SBTC Esports,VCS,2022-02-20 11:57:22,0,1586,3.0,1,27,8,1.0,4.0,1.0,0.0,11.0,0.0,4.0,0.0,69362.0,2811.942,80.0,39.0,30.0,58275,0.289854
7024,LNG Esports,LPL,2022-02-20 12:22:31,1,1427,1.0,1,18,3,1.0,3.0,1.0,0.0,9.0,2.0,1.0,0.0,49788.0,2117.0287,58.0,23.0,27.0,49184,0.221822
7025,Royal Never Give Up,LPL,2022-02-20 12:22:31,0,1427,1.0,0,3,18,0.0,0.0,0.0,1.0,2.0,9.0,0.0,1.0,31682.0,2908.0869,63.0,15.0,25.0,36426,-0.221822
7026,Nongshim RedForce,LCK,2022-02-20 12:30:08,1,2457,2.0,1,28,20,1.0,4.0,2.0,1.0,11.0,8.0,1.0,2.0,82326.0,2978.8278,194.0,69.0,74.0,79682,-0.0247126
7027,T1,LCK,2022-02-20 12:30:08,0,2457,2.0,0,20,28,0.0,1.0,1.0,2.0,8.0,11.0,2.0,1.0,93515.0,2637.7045,160.0,100.0,58.0,73532,0.0247126
7028,CTBC Flying Oyster,PCS,2022-02-20 12:49:47,1,1758,1.0,1,14,8,0.0,3.0,1.0,0.0,8.0,4.0,1.0,0.0,54097.0,2273.4812,103.0,34.0,38.0,53785,0.0992258
7029,Deep Cross Gaming,PCS,2022-02-20 12:49:47,0,1758,1.0,0,8,14,1.0,1.0,0.0,1.0,4.0,8.0,0.0,1.0,40762.0,2434.8805,98.0,37.0,38.0,46589,-0.0992258
7030,Saigon Buffalo,VCS,2022-02-20 12:57:41,0,1885,1.0,1,23,12,1.0,3.0,1.0,0.0,11.0,0.0,3.0,0.0,81179.0,2910.748,110.0,52.0,42.0,64650,0.105411
7031,Team Secret,VCS,2022-02-20 12:57:41,1,1885,1.0,0,12,24,0.0,1.0,0.0,1.0,0.0,11.0,0.0,3.0,60945.0,3315.6923,86.0,52.0,41.0,52057,-0.105411
7032,LNG Esports,LPL,2022-02-20 13:05:36,0,1986,2.0,0,10,16,0.0,1.0,1.0,1.0,5.0,8.0,0.0,1.0,47692.0,2816.0725,114.0,60.0,45.0,59449,-0.0228804
7033,Royal Never Give Up,LPL,2022-02-20 13:05:36,1,1986,2.0,1,16,10,1.0,4.0,1.0,1.0,8.0,5.0,1.0,0.0,63312.0,2337.2205,127.0,60.0,55.0,65985,0.0228804
7034,T1,LCK,2022-02-20 13:35:52,1,1780,3.0,1,20,5,0.0,3.0,1.0,0.0,8.0,3.0,1.0,0.0,64259.0,1925.5618,123.0,55.0,36.0,56410,0.0544567
7035,Nongshim RedForce,LCK,2022-02-20 13:35:52,0,1780,3.0,0,5,20,1.0,2.0,0.0,1.0,3.0,8.0,0.0,1.0,30949.0,2751.7079,107.0,44.0,53.0,46699,-0.0544567
7036,LNG Esports,LPL,2022-02-20 13:59:19,1,2089,3.0,0,8,19,1.0,2.0,0.0,2.0,3.0,11.0,0.0,3.0,42934.0,2445.3518,115.0,61.0,41.0,57307,-0.0882713
7037,Royal Never Give Up,LPL,2022-02-20 13:59:19,0,2089,3.0,1,19,8,0.0,3.0,2.0,0.0,11.0,3.0,3.0,0.0,63568.0,2011.1345,118.0,64.0,40.0,70318,0.0882713
7038,Saigon Buffalo,VCS,2022-02-20 14:00:01,1,1738,2.0,1,22,11,1.0,4.0,1.0,0.0,10.0,2.0,2.0,0.0,67975.0,3315.3625,94.0,48.0,44.0,61987,0.143954
7039,Team Secret,VCS,2022-02-20 14:00:01,0,1738,2.0,0,10,22,0.0,0.0,0.0,1.0,2.0,10.0,0.0,2.0,57950.0,2960.8861,85.0,36.0,37.0,48386,-0.143954
7040,RED Canids,CBLOL,2022-02-20 15:45:23,1,1451,1.0,1,15,7,0.0,2.0,1.0,0.0,7.0,4.0,1.0,0.0,45167.0,2201.9297,65.0,31.0,27.0,47385,-0.0426285
7041,Rensga eSports,CBLOL,2022-02-20 15:45:23,0,1451,1.0,0,7,15,1.0,1.0,0.0,1.0,4.0,7.0,0.0,1.0,35732.0,2742.3432,79.0,26.0,32.0,41211,0.0426285
7042,INTZ,CBLOL,2022-02-20 16:48:38,1,1824,1.0,1,30,15,1.0,4.0,0.0,0.0,8.0,4.0,1.0,0.0,65724.0,3096.3158,108.0,38.0,47.0,59664,0.00892857
7043,KaBuM! e-Sports,CBLOL,2022-02-20 16:48:38,0,1824,1.0,0,15,30,0.0,1.0,0.0,0.0,4.0,8.0,0.0,1.0,71661.0,2916.0526,97.0,41.0,47.0,53201,-0.00892857
7044,paiN Gaming,CBLOL,2022-02-20 17:49:12,0,2139,1.0,0,13,16,1.0,2.0,0.0,2.0,5.0,11.0,0.0,5.0,69325.0,2917.4755,127.0,47.0,66.0,63536,-0.0112523
7045,Liberty,CBLOL,2022-02-20 17:49:12,1,2139,1.0,1,16,13,0.0,3.0,2.0,0.0,11.0,5.0,5.0,0.0,75514.0,2655.7083,115.0,55.0,54.0,66782,0.0112523
7046,Flamengo Esports,CBLOL,2022-02-20 18:54:59,1,1911,1.0,0,6,13,0.0,1.0,0.0,2.0,3.0,9.0,0.0,2.0,64971.0,3160.7535,107.0,45.0,45.0,50421,-0.0901624
7047,Netshoes Miners,CBLOL,2022-02-20 18:54:59,0,1911,1.0,1,13,6,1.0,3.0,2.0,0.0,9.0,3.0,2.0,0.0,76753.0,2857.237,106.0,30.0,49.0,58230,0.0901624
7048,Evil Geniuses,LCS,2022-02-20 19:39:45,1,2213,1.0,0,13,20,0.0,3.0,0.0,2.0,3.0,10.0,0.0,2.0,71151.0,2861.455,124.0,69.0,47.0,62394,-0.0972476
7049,Immortals,LCS,2022-02-20 19:39:45,0,2213,1.0,1,20,13,1.0,1.0,2.0,0.0,10.0,3.0,2.0,0.0,84286.0,2840.9851,136.0,52.0,53.0,72840,0.0972476
7050,Team Aze,LLA,2022-02-20 19:39:55,1,1870,1.0,0,13,19,1.0,0.0,0.0,1.0,3.0,9.0,0.0,2.0,57319.0,3162.4171,91.0,41.0,40.0,53991,-0.0279422
7051,XTEN Esports,LLA,2022-02-20 19:39:55,0,1870,1.0,1,19,13,0.0,4.0,1.0,0.0,9.0,3.0,2.0,0.0,75663.0,2530.1711,103.0,42.0,49.0,59192,0.0279422
7052,FURIA,CBLOL,2022-02-20 19:51:32,1,1794,1.0,0,2,16,0.0,0.0,0.0,1.0,3.0,11.0,0.0,2.0,34864.0,2961.2375,109.0,48.0,51.0,45988,-0.150681
7053,LOUD,CBLOL,2022-02-20 19:51:32,0,1794,1.0,1,16,2,1.0,4.0,1.0,0.0,11.0,3.0,2.0,0.0,58774.0,1984.1472,135.0,36.0,48.0,59989,0.150681
7054,All Knights,LLA,2022-02-20 20:43:13,1,1838,1.0,0,9,20,0.0,2.0,0.0,2.0,3.0,11.0,0.0,3.0,45789.0,2666.8988,97.0,40.0,39.0,53221,-0.0427346
7055,Rainbow7,LLA,2022-02-20 20:43:13,0,1838,1.0,1,20,9,1.0,1.0,2.0,0.0,11.0,3.0,3.0,0.0,60625.0,2240.2394,103.0,43.0,36.0,61867,0.0427346
7056,FlyQuest,LCS,2022-02-20 21:46:32,0,2601,1.0,1,16,11,1.0,3.0,2.0,1.0,10.0,5.0,1.0,0.0,76247.0,2517.6009,148.0,65.0,62.0,82804,0.190745
7057,100 Thieves,LCS,2022-02-20 21:46:32,1,2601,1.0,0,11,16,0.0,4.0,1.0,2.0,5.0,10.0,0.0,1.0,74966.0,2464.6828,165.0,78.0,61.0,76318,-0.190745
7058,Isurus,LLA,2022-02-20 21:48:49,1,2249,1.0,1,15,13,0.0,1.0,1.0,0.0,8.0,3.0,1.0,0.0,65372.0,2593.446,126.0,69.0,48.0,69745,0.0106886
7059,Globant Emerald,LLA,2022-02-20 21:48:49,0,2249,1.0,0,13,15,1.0,5.0,0.0,1.0,3.0,8.0,0.0,1.0,62131.0,2629.0084,120.0,51.0,52.0,60946,-0.0106886
7060,Estral Esports,LLA,2022-02-20 22:57:17,1,2023,1.0,1,14,5,0.0,3.0,1.0,0.0,8.0,0.0,1.0,0.0,47729.0,2227.2071,151.0,70.0,49.0,66750,0.171187
7061,INFINITY,LLA,2022-02-20 22:57:17,0,2023,1.0,0,5,14,1.0,2.0,0.0,1.0,0.0,8.0,0.0,1.0,37402.0,2180.7316,122.0,64.0,54.0,53807,-0.171187
7062,TSM,LCS,2022-02-20 22:57:20,1,1956,1.0,0,19,15,1.0,4.0,0.0,1.0,7.0,8.0,0.0,1.0,58830.0,2949.4172,152.0,39.0,59.0,56450,-0.0597466
7063,Cloud9,LCS,2022-02-20 22:57:20,0,1956,1.0,1,15,19,0.0,0.0,1.0,0.0,8.0,7.0,1.0,0.0,70506.0,2718.8957,104.0,60.0,26.0,63723,0.0597466
7064,Golden Guardians,LCS,2022-02-20 23:53:29,1,2485,1.0,1,12,4,1.0,4.0,1.0,0.0,11.0,2.0,3.0,0.0,64541.0,1887.4044,178.0,90.0,59.0,76730,0.172494
7065,Dignitas,LCS,2022-02-20 23:53:29,0,2485,1.0,0,4,12,0.0,2.0,0.0,1.0,2.0,11.0,0.0,3.0,43489.0,2433.996,161.0,92.0,67.0,67208,-0.172494
7066,Counter Logic Gaming,LCS,2022-02-21 00:57:57,1,1721,1.0,0,10,15,0.0,0.0,1.0,0.0,2.0,10.0,0.0,3.0,39179.0,2897.0134,100.0,44.0,42.0,49439,-0.0386163
7067,Team Liquid,LCS,2022-02-21 00:57:57,0,1721,1.0,1,15,10,1.0,4.0,0.0,1.0,10.0,2.0,3.0,0.0,62670.0,2255.6304,100.0,46.0,37.0,56654,0.0386163
7068,LGD Gaming,LPL,2022-02-21 09:22:11,0,1827,1.0,1,17,5,1.0,3.0,1.0,0.0,9.0,1.0,1.0,0.0,81611.0,2907.0608,111.0,33.0,41.0,58155,0.0894241
7069,Victory Five,LPL,2022-02-21 09:22:11,1,1827,1.0,0,5,17,0.0,2.0,0.0,1.0,1.0,9.0,0.0,1.0,57277.0,3702.3974,69.0,52.0,31.0,49829,-0.0894241
